geoid,tmfi_2020,tmfi_2024,msa_2020,msa_2024,classification
01003011300,87.7,102.1,19300,19300,Real Growth
01003011410,120.4,90.5,99999,19300,Mixed (real + reclass)
01003011411,98.7,81.2,99999,19300,Mixed (real + reclass)
01003011412,83.7,66.9,99999,19300,Mixed (real + reclass)
01003011413,101.3,105.9,99999,19300,Stable Economy
01003011414,90.2,136.8,99999,19300,Mixed (real + reclass)
01003011415,66.4,175.4,99999,19300,Mixed (real + reclass)
01003011417,111.4,176.4,99999,19300,Mixed (real + reclass)
01003011418,87.6,100.8,99999,19300,Mixed (real + reclass)
01003011419,92.9,109.8,99999,19300,Mixed (real + reclass)
01003011501,77.2,81.1,13820,19300,Reclassification Effect
01003011503,68.5,71.5,13820,19300,Stable Economy
01003011504,80.3,98.7,13820,19300,Mixed (real + reclass)
01003011601,61.8,85.7,13820,19300,Mixed (real + reclass)
01003011603,71.3,70.3,13820,19300,Stable Economy
01003011604,93,89.1,13820,19300,Stable Economy
01005950100,83.2,128.6,13820,99999,Mixed (real + reclass)
01005950200,75.6,96.4,13820,99999,Mixed (real + reclass)
01005950300,78.3,81.5,13820,99999,Reclassification Effect
01005950400,76,62,13820,99999,Mixed (real + reclass)
01005950500,86.3,118.5,13820,99999,Mixed (real + reclass)
01005950600,113.1,48.3,13820,99999,Mixed (real + reclass)
01005950700,79.4,98.2,13820,99999,Mixed (real + reclass)
01005950800,93.6,70.5,99999,99999,Real Decline
01005950900,99,68.8,99999,99999,Real Decline
01005999999,91.2,82.2,99999,99999,Real Decline
01007010001,92.6,79.7,99999,13820,Mixed (real + reclass)
01007010005,100,88.1,99999,13820,Mixed (real + reclass)
01007010006,126.9,90,99999,13820,Mixed (real + reclass)
01007010007,80.3,72.8,99999,13820,Mixed (real + reclass)
01007010008,104,108,99999,13820,Stable Economy
01007010010,95.7,84.7,99999,13820,Mixed (real + reclass)
01007010011,114.9,64.3,99999,13820,Mixed (real + reclass)
01007999999,84,84,99999,13820,Stable Economy
01009050103,99.9,77.6,99999,13820,Mixed (real + reclass)
01009050104,88.2,86.8,99999,13820,Stable Economy
01009050105,55.8,99.1,11500,13820,Mixed (real + reclass)
01009050106,28.3,67.3,11500,13820,Mixed (real + reclass)
01009050107,67.2,65.2,11500,13820,Stable Economy
01009050200,36.3,58.7,11500,13820,Mixed (real + reclass)
01009050301,23.2,68.7,11500,13820,Mixed (real + reclass)
01009050302,62,80.2,11500,13820,Mixed (real + reclass)
01009050400,57,90,11500,13820,Mixed (real + reclass)
01009050501,126.1,73.6,11500,13820,Mixed (real + reclass)
01009050502,107,119.4,11500,13820,Mixed (real + reclass)
01009050601,108.5,101.1,11500,13820,Mixed (real + reclass)
01009050603,75.1,93.6,11500,13820,Mixed (real + reclass)
01009050604,122.8,122.5,11500,13820,Stable Economy
01009050701,85.1,81.3,11500,13820,Stable Economy
01009050702,84.6,87.5,11500,13820,Stable Economy
01011952100,96.1,81.9,11500,99999,Mixed (real + reclass)
01011952201,73.3,103.4,11500,99999,Mixed (real + reclass)
01011952202,117.6,47.8,11500,99999,Mixed (real + reclass)
01011952500,101.6,119.8,11500,99999,Mixed (real + reclass)
01011999999,114.8,96.8,11500,99999,Mixed (real + reclass)
01013952800,115.3,141.7,11500,99999,Mixed (real + reclass)
01013952900,90.5,116,11500,99999,Mixed (real + reclass)
01013953000,90.2,92.1,11500,99999,Stable Economy
01013953100,68.3,72,11500,99999,Stable Economy
01013953200,127.7,114.6,11500,99999,Mixed (real + reclass)
01013953300,118.2,113.7,11500,99999,Stable Economy
01013953400,104.3,121.2,11500,99999,Mixed (real + reclass)
01013953500,114.8,100.3,11500,99999,Mixed (real + reclass)
01015000400,113.5,57.9,99999,11500,Mixed (real + reclass)
01015000600,91.7,58.1,99999,11500,Mixed (real + reclass)
01015000700,107.3,98.6,99999,11500,Mixed (real + reclass)
01015000800,137,85,99999,11500,Mixed (real + reclass)
01015000900,53.1,142.4,99999,11500,Mixed (real + reclass)
01015001000,80.9,129.5,99999,11500,Mixed (real + reclass)
01015001101,97.8,133.2,99999,11500,Mixed (real + reclass)
01015001102,101.9,50.2,99999,11500,Mixed (real + reclass)
01015001103,90.8,137.3,99999,11500,Mixed (real + reclass)
01015001201,76.3,82.1,99999,11500,Mixed (real + reclass)
01015001202,104.1,99.8,99999,11500,Stable Economy
01015001300,101.5,66.1,99999,11500,Mixed (real + reclass)
01015001400,109.5,93.3,99999,11500,Mixed (real + reclass)
01015001501,109.9,104.8,99999,11500,Mixed (real + reclass)
01015001502,100,64.5,99999,11500,Mixed (real + reclass)
01015001600,78.1,92.6,13820,11500,Mixed (real + reclass)
01015001700,74.4,99.9,13820,11500,Mixed (real + reclass)
01015001801,93.6,95.4,13820,11500,Stable Economy
01015001802,87.5,101.3,13820,11500,Mixed (real + reclass)
01015002001,94,101.8,13820,11500,Mixed (real + reclass)
01015002002,69.9,147.8,13820,11500,Mixed (real + reclass)
01015002101,104.2,67.6,13820,11500,Mixed (real + reclass)
01015002102,66.2,112.2,13820,11500,Mixed (real + reclass)
01015002104,83.9,95.4,13820,11500,Mixed (real + reclass)
01015002105,122.7,69.9,99999,11500,Mixed (real + reclass)
01015002200,100.4,95.2,99999,11500,Mixed (real + reclass)
01015002300,116.5,77.1,99999,11500,Mixed (real + reclass)
01015002400,72,97.4,99999,11500,Mixed (real + reclass)
01015002502,103.6,109.3,99999,11500,Mixed (real + reclass)
01015002503,87.4,145.2,99999,11500,Mixed (real + reclass)
01015002504,108.6,104.9,99999,11500,Stable Economy
01015002600,109.3,94.5,99999,11500,Mixed (real + reclass)
01017953800,109.6,65.6,99999,99999,Real Decline
01017953900,74.7,90.7,99999,99999,Real Growth
01017954001,95.6,88.2,99999,99999,Real Decline
01017954002,103.8,97.9,99999,99999,Real Decline
01017954200,127.2,99.8,99999,99999,Real Decline
01017954300,85.9,115.2,99999,99999,Real Growth
01017954600,89.3,74.8,99999,99999,Real Decline
01017954700,85.7,109.8,99999,99999,Real Growth
01017954800,95,87.7,99999,99999,Real Decline
01019955701,92.4,94.1,99999,99999,Stable Economy
01019955702,89.6,79.5,99999,99999,Real Decline
01019955801,115.8,96.8,99999,99999,Real Decline
01019955802,117.2,123.9,99999,99999,Real Growth
01019955900,107.3,113.7,99999,99999,Real Growth
01019956000,106.8,102.2,99999,99999,Stable Economy
01019956101,102.8,103.7,99999,99999,Stable Economy
01019956102,133.4,106.9,99999,99999,Real Decline
01019999999,94.8,104.2,99999,99999,Real Growth
01021060101,98.1,75.3,99999,13820,Mixed (real + reclass)
01021060103,101,88.7,99999,13820,Mixed (real + reclass)
01021060104,109.2,117.4,99999,13820,Mixed (real + reclass)
01021060200,153.1,101.6,99999,13820,Mixed (real + reclass)
01021060300,85.3,89.6,99999,13820,Stable Economy
01021060401,111.1,81,99999,13820,Mixed (real + reclass)
01021060403,123.2,73.6,99999,13820,Mixed (real + reclass)
01021060404,213.7,78.8,99999,13820,Mixed (real + reclass)
01021060500,163.7,76.4,99999,13820,Mixed (real + reclass)
01021060600,61.7,84.8,99999,13820,Mixed (real + reclass)
01021060701,75.3,67.8,22520,13820,Mixed (real + reclass)
01021060702,101.2,75.7,22520,13820,Mixed (real + reclass)
01023956700,51.3,89.7,22520,99999,Mixed (real + reclass)
01023956800,95.2,117.2,22520,99999,Mixed (real + reclass)
01023956900,107.3,94.8,22520,99999,Mixed (real + reclass)
01023957000,90.4,95.4,22520,99999,Mixed (real + reclass)
01023999999,121.4,97.6,22520,99999,Mixed (real + reclass)
01025957500,116.2,84.9,22520,99999,Mixed (real + reclass)
01025957601,106.9,108.2,22520,99999,Stable Economy
01025957603,97.7,105.3,22520,99999,Mixed (real + reclass)
01025957604,72.2,113.4,22520,99999,Mixed (real + reclass)
01025957700,91.7,68.6,22520,99999,Mixed (real + reclass)
01025957800,85.9,93.2,22520,99999,Mixed (real + reclass)
01025957901,85.4,121.7,22520,99999,Mixed (real + reclass)
01025957902,83.8,89.5,99999,99999,Real Growth
01025958003,79.1,96.5,99999,99999,Real Growth
01025999999,71,95,99999,99999,Real Growth
01027958900,66.8,97.5,99999,99999,Real Growth
01027959000,54.8,73.1,99999,99999,Real Growth
01027959100,71.9,115.7,99999,99999,Real Growth
01027959200,80,91,99999,99999,Real Growth
01027999999,99.6,95.4,99999,99999,Stable Economy
01029959500,102.1,101.8,99999,99999,Stable Economy
01029959600,93.6,98,99999,99999,Stable Economy
01029959700,120.6,111.3,99999,99999,Real Decline
01029959800,97.1,133,99999,99999,Real Growth
01029999999,105.7,111.2,99999,99999,Real Growth
01031010100,111.4,86.7,99999,99999,Real Decline
01031010200,96.3,113.7,99999,99999,Real Growth
01031010300,59.4,153.3,99999,99999,Real Growth
01031010400,109,102.7,99999,99999,Real Decline
01031010500,128.1,94.3,99999,99999,Real Decline
01031010600,121.7,97.4,99999,99999,Real Decline
01031010700,56.4,135.4,99999,99999,Real Growth
01031010800,73,170.9,99999,99999,Real Growth
01031010900,93.7,102.5,99999,99999,Real Growth
01031011000,114.9,89.2,99999,99999,Real Decline
01031011100,78.2,102.3,99999,99999,Real Growth
01031011203,117.8,129,99999,99999,Real Growth
01031011204,119.8,205.1,99999,99999,Real Growth
01031011205,114.6,138.1,99999,99999,Real Growth
01031011206,102.7,109.9,99999,99999,Real Growth
01031011300,104.5,59.4,99999,99999,Real Decline
01033020100,113.3,76,99999,22520,Mixed (real + reclass)
01033020200,110.5,81.3,99999,22520,Mixed (real + reclass)
01033020300,102.3,30,99999,22520,Mixed (real + reclass)
01033020400,103.5,131.2,99999,22520,Mixed (real + reclass)
01033020500,110.1,89.4,99999,22520,Mixed (real + reclass)
01033020600,111.4,65.4,99999,22520,Mixed (real + reclass)
01033020703,100.2,104.1,99999,22520,Stable Economy
01033020704,103.6,95.3,99999,22520,Mixed (real + reclass)
01033020705,119.6,78.5,99999,22520,Mixed (real + reclass)
01033020706,89.9,113.7,99999,22520,Mixed (real + reclass)
01033020801,126.3,108.9,99999,22520,Mixed (real + reclass)
01033020802,98,88,99999,22520,Mixed (real + reclass)
01033020901,110.7,89.3,99999,22520,Mixed (real + reclass)
01033020902,115.2,103.8,99999,22520,Mixed (real + reclass)
01033021000,103.8,73.7,99999,22520,Mixed (real + reclass)
01035960200,86.1,93.5,99999,99999,Real Growth
01035960300,96.5,84.7,99999,99999,Real Decline
01035960400,138.9,97.9,99999,99999,Real Decline
01035960500,124.3,81.3,99999,99999,Real Decline
01035960600,90.7,66.4,99999,99999,Real Decline
01035999999,146.7,81.2,99999,99999,Real Decline
01037961000,118.7,85.4,99999,99999,Real Decline
01037961100,124.9,103.1,99999,99999,Real Decline
01037961200,125.7,96.5,99999,99999,Real Decline
01037999999,147.8,90.5,99999,99999,Real Decline
01039961600,83.9,118.9,99999,99999,Real Growth
01039961700,91.2,96.8,99999,99999,Real Growth
01039961800,120.5,118.2,99999,99999,
01039961900,129,124.6,99999,99999,Stable Economy
01039962000,147.3,92.5,99999,99999,Real Decline
01039962100,123.4,84.6,99999,99999,Real Decline
01039962300,139.9,83.6,99999,99999,Real Decline
01039962400,145.9,130.1,99999,99999,Real Decline
01039962500,96.2,62,99999,99999,Real Decline
01039962600,105.5,74.9,99999,99999,Real Decline
01039962700,101.4,63.6,99999,99999,Real Decline
01039962800,125.8,93.8,99999,99999,Real Decline
01039962900,52.1,144.7,99999,99999,Real Growth
01039963000,49.5,101.7,99999,99999,Real Growth
01041963400,48.9,96.9,99999,99999,Real Growth
01041963500,62.6,114.3,99999,99999,Real Growth
01041963600,153,86.1,99999,99999,Real Decline
01041963700,91.5,113.3,99999,99999,Real Growth
01041963800,88.5,126.7,99999,99999,Real Growth
01041963900,59,130.1,99999,99999,Real Growth
01041999999,96.3,107.4,99999,99999,Real Growth
01043964100,85.6,74.3,99999,99999,Real Decline
01043964201,71.1,106.6,99999,99999,Real Growth
01043964202,71,103.2,99999,99999,Real Growth
01043964300,100.6,111.6,99999,99999,Real Growth
01043964400,96.6,116.9,99999,99999,Real Growth
01043964500,86.8,106.4,99999,99999,Real Growth
01043964600,127.3,106.7,99999,99999,Real Decline
01043964700,112,114.1,99999,99999,Stable Economy
01043964800,105.4,88.9,99999,99999,Real Decline
01043964901,84.3,123,99999,99999,Real Growth
01043964902,84.7,124.7,99999,99999,Real Growth
01043965001,84.2,120.8,99999,99999,Real Growth
01043965002,105.3,102.8,99999,99999,Stable Economy
01043965100,105.1,120.9,99999,99999,Real Growth
01043965200,148.5,116.1,99999,99999,Real Decline
01043965300,104.5,100.5,99999,99999,Stable Economy
01043965401,94.7,81.4,99999,99999,Real Decline
01043965402,82.1,87.9,33860,99999,Mixed (real + reclass)
01043965501,99.8,125.9,33860,99999,Mixed (real + reclass)
01043965502,126.2,134.6,33860,99999,Mixed (real + reclass)
01043965600,101.9,137.1,33860,99999,Mixed (real + reclass)
01043965700,105.1,108.3,33860,99999,Stable Economy
01045020000,104.3,102.6,33860,99999,Stable Economy
01045020100,152.1,100.1,33860,99999,Mixed (real + reclass)
01045020200,153.7,117.5,33860,99999,Mixed (real + reclass)
01045020300,88.3,92.3,33860,99999,Stable Economy
01045020400,132.5,144.1,33860,99999,Mixed (real + reclass)
01045020500,88.4,75.2,33860,99999,Mixed (real + reclass)
01045020700,98.6,48.5,33860,99999,Mixed (real + reclass)
01045020801,132.6,86.6,33860,99999,Mixed (real + reclass)
01045020802,95.9,130.6,33860,99999,Mixed (real + reclass)
01045021101,98.9,133.7,33860,99999,Mixed (real + reclass)
01045021102,82.2,65,99999,99999,Real Decline
01045021200,94.3,125.8,99999,99999,Real Growth
01045021300,120.6,129.2,99999,99999,Real Growth
01045021400,50,83.4,99999,99999,Real Growth
01047956101,100.6,112.9,99999,99999,Real Growth
01047956102,93.8,151.4,99999,99999,Real Growth
01047956201,89,129.6,99999,99999,Real Growth
01047956202,51.8,110.6,99999,99999,Real Growth
01047956300,122.3,60,99999,99999,Real Decline
01047956400,56,42.5,23460,99999,Mixed (real + reclass)
01047956500,40.2,49.2,23460,99999,Mixed (real + reclass)
01047956600,123.3,86.1,23460,99999,Mixed (real + reclass)
01047956701,72.1,132.4,23460,99999,Mixed (real + reclass)
01047956702,69.3,78.8,23460,99999,Mixed (real + reclass)
01047956800,41.8,103.5,23460,99999,Mixed (real + reclass)
01047956900,67.3,71.2,23460,99999,Stable Economy
01047957000,50.1,54.9,23460,99999,Stable Economy
01047957100,78.8,74.4,23460,99999,Stable Economy
01047957200,174.6,90.5,23460,99999,Mixed (real + reclass)
01047957301,83.8,55.9,23460,99999,Mixed (real + reclass)
01047957302,66.8,73.7,23460,99999,Mixed (real + reclass)
01049960101,92.8,92.7,23460,99999,Stable Economy
01049960102,74.1,102.3,23460,99999,Mixed (real + reclass)
01049960200,79.2,85,23460,99999,Mixed (real + reclass)
01049960301,89.1,130.8,23460,99999,Mixed (real + reclass)
01049960302,117,96.4,23460,99999,Mixed (real + reclass)
01049960303,90.5,98.1,23460,99999,Mixed (real + reclass)
01049960401,120.6,114.2,23460,99999,Mixed (real + reclass)
01049960402,157.2,98.1,23460,99999,Mixed (real + reclass)
01049960500,104.9,81.4,23460,99999,Mixed (real + reclass)
01049960601,122.6,127.2,23460,99999,Stable Economy
01049960602,82.3,90.9,23460,99999,Mixed (real + reclass)
01049960701,97.6,81.6,23460,99999,Mixed (real + reclass)
01049960702,100.3,102.4,23460,99999,Stable Economy
01049960703,110.8,92.7,23460,99999,Mixed (real + reclass)
01049960800,117.4,69.9,23460,99999,Mixed (real + reclass)
01049960900,103.3,102.6,23460,99999,Stable Economy
01049961000,77.8,86.7,23460,99999,Mixed (real + reclass)
01049961100,41.8,120.8,23460,99999,Mixed (real + reclass)
01049961200,109.1,154.1,99999,99999,Real Growth
01049961300,106.1,78.1,99999,99999,Real Decline
01049961400,113.9,88.4,99999,99999,Real Decline
01051030101,72.2,119.3,99999,33860,Mixed (real + reclass)
01051030102,84.9,90.3,99999,33860,Mixed (real + reclass)
01051030103,95.7,80.1,99999,33860,Mixed (real + reclass)
01051030200,102.1,116.9,99999,33860,Mixed (real + reclass)
01051030300,88.3,171.7,99999,33860,Mixed (real + reclass)
01051030401,131.4,99.3,99999,33860,Mixed (real + reclass)
01051030402,100.6,102.2,99999,33860,Stable Economy
01051030500,113.1,103.8,99999,33860,Mixed (real + reclass)
01051030600,94,118,99999,33860,Mixed (real + reclass)
01051030701,93.8,170.8,99999,33860,Mixed (real + reclass)
01051030702,94.9,162.6,99999,33860,Mixed (real + reclass)
01051030801,83.4,84.1,99999,33860,Stable Economy
01051030802,74.9,69.4,20020,33860,Mixed (real + reclass)
01051030901,112.1,116.1,20020,33860,Stable Economy
01051030902,80.8,88.8,20020,33860,Mixed (real + reclass)
01051031001,97.8,51.3,20020,33860,Mixed (real + reclass)
01051031002,94,97.8,20020,33860,Stable Economy
01051031100,89.5,129.4,20020,33860,Mixed (real + reclass)
01051031200,88.1,64.8,20020,33860,Mixed (real + reclass)
01051031300,49.3,89.8,46220,33860,Mixed (real + reclass)
01053969801,52.1,112.6,46220,99999,Mixed (real + reclass)
01053969802,40.3,82.6,46220,99999,Mixed (real + reclass)
01053969900,49.1,83.5,46220,99999,Mixed (real + reclass)
01053970100,93.5,102.9,46220,99999,Mixed (real + reclass)
01053970200,99.3,94.1,46220,99999,Mixed (real + reclass)
01053970300,90.8,68.5,46220,99999,Mixed (real + reclass)
01053970400,78.3,105.6,46220,99999,Mixed (real + reclass)
01053970500,57.7,91.5,46220,99999,Mixed (real + reclass)
01053970600,71.3,48.4,46220,99999,Mixed (real + reclass)
01053970700,77.1,72.7,46220,99999,Stable Economy
01055000200,111.4,66.2,20020,23460,Mixed (real + reclass)
01055000300,81.5,38.7,20020,23460,Mixed (real + reclass)
01055000400,90.2,122.8,20020,23460,Mixed (real + reclass)
01055000500,95.1,67.6,20020,23460,Mixed (real + reclass)
01055000600,138.2,51.2,20020,23460,Mixed (real + reclass)
01055000700,106.4,30.4,20020,23460,Mixed (real + reclass)
01055000800,107.3,65.9,20020,23460,Mixed (real + reclass)
01055000900,124.2,84.2,20020,23460,Mixed (real + reclass)
01055001000,168.1,50.1,20020,23460,Mixed (real + reclass)
01055001100,165,160.5,20020,23460,Stable Economy
01055001200,89.1,104.8,20020,23460,Mixed (real + reclass)
01055001300,71.9,43.1,20020,23460,Mixed (real + reclass)
01055001600,141.5,85.3,20020,23460,Mixed (real + reclass)
01055010100,32,105.2,20020,23460,Mixed (real + reclass)
01055010201,70.6,121.1,20020,23460,Mixed (real + reclass)
01055010202,100.7,136.6,20020,23460,Mixed (real + reclass)
01055010300,112.8,71.9,20020,23460,Mixed (real + reclass)
01055010401,60.6,78.3,20020,23460,Mixed (real + reclass)
01055010402,80.5,157.3,20020,23460,Mixed (real + reclass)
01055010503,47.7,95.2,20020,23460,Mixed (real + reclass)
01055010504,59.5,149.1,20020,23460,Mixed (real + reclass)
01055010505,72.4,109.8,20020,23460,Mixed (real + reclass)
01055010506,92.1,153.6,20020,23460,Mixed (real + reclass)
01055010601,66.8,138.4,20020,23460,Mixed (real + reclass)
01055010602,91.6,103,20020,23460,Mixed (real + reclass)
01055010700,97.8,92.3,20020,23460,Mixed (real + reclass)
01055010800,95.9,98.7,20020,23460,Stable Economy
01055010900,106.4,112.8,20020,23460,Mixed (real + reclass)
01055011001,87.8,100.7,99999,23460,Mixed (real + reclass)
01055011002,88.1,85.8,99999,23460,Stable Economy
01055011100,103.9,87.4,99999,23460,Mixed (real + reclass)
01055011200,97.6,80.8,99999,23460,Mixed (real + reclass)
01057020000,88.4,90.8,99999,99999,Stable Economy
01057020100,90.5,120.4,99999,99999,Real Growth
01057020200,96.5,96.6,99999,99999,Stable Economy
01057020300,94.5,86,99999,99999,Real Decline
01057020400,127.5,114.1,99999,99999,Real Decline
01057999999,128,98,99999,99999,Real Decline
01059972900,84.3,92.5,99999,99999,Real Growth
01059973000,45.9,92.1,13820,99999,Mixed (real + reclass)
01059973100,47,90.5,13820,99999,Mixed (real + reclass)
01059973200,40,82.9,13820,99999,Mixed (real + reclass)
01059973300,35.1,69.2,13820,99999,Mixed (real + reclass)
01059973400,18.2,95.8,13820,99999,Mixed (real + reclass)
01059973500,50,111.8,13820,99999,Mixed (real + reclass)
01059973600,71.2,87.2,13820,99999,Mixed (real + reclass)
01059973701,62.8,44.1,13820,99999,Mixed (real + reclass)
01059973702,52.7,85.3,13820,99999,Mixed (real + reclass)
01059973703,46.3,143.6,13820,99999,Mixed (real + reclass)
01061050100,36,78.2,13820,20020,Mixed (real + reclass)
01061050200,35.5,132,13820,20020,Mixed (real + reclass)
01061050300,31.4,67.3,13820,20020,Mixed (real + reclass)
01061050400,52.4,84.6,13820,20020,Mixed (real + reclass)
01061050500,55.6,83.2,13820,20020,Mixed (real + reclass)
01061050600,19.4,96.2,13820,20020,Mixed (real + reclass)
01061999999,119.6,82.1,13820,20020,Mixed (real + reclass)
01063060000,121.4,30.4,13820,46220,Mixed (real + reclass)
01063060101,34.6,75.2,13820,46220,Mixed (real + reclass)
01063060102,72.3,63.1,13820,46220,Mixed (real + reclass)
01063060200,34.9,70.3,13820,46220,Mixed (real + reclass)
01063999999,54.1,60.4,13820,46220,Mixed (real + reclass)
01065040000,34.8,100.5,13820,46220,Mixed (real + reclass)
01065040100,50.7,88.7,13820,46220,Mixed (real + reclass)
01065040200,25.6,66.7,13820,46220,Mixed (real + reclass)
01065040401,41.4,39.9,13820,46220,Stable Economy
01065040402,52.3,102.8,13820,46220,Mixed (real + reclass)
01065040500,72.3,81.8,13820,46220,Mixed (real + reclass)
01065999999,56.3,80,13820,46220,Mixed (real + reclass)
01067030100,54.2,110.3,13820,20020,Mixed (real + reclass)
01067030200,46.2,82.1,13820,20020,Mixed (real + reclass)
01067030300,29,72.9,13820,20020,Mixed (real + reclass)
01067030400,53.2,95.1,13820,20020,Mixed (real + reclass)
01067030500,54.1,151.1,13820,20020,Mixed (real + reclass)
01067999999,144.5,101.8,13820,20020,Mixed (real + reclass)
01069040100,177.2,135.6,13820,20020,Mixed (real + reclass)
01069040203,179.8,196.5,13820,20020,Mixed (real + reclass)
01069040204,89,154.5,13820,20020,Mixed (real + reclass)
01069040205,83.7,137.6,13820,20020,Mixed (real + reclass)
01069040206,62.8,136.1,13820,20020,Mixed (real + reclass)
01069040301,21.1,93.6,13820,20020,Mixed (real + reclass)
01069040302,70.5,63.1,13820,20020,Mixed (real + reclass)
01069040400,47,133.4,13820,20020,Mixed (real + reclass)
01069040500,45.7,110.7,13820,20020,Mixed (real + reclass)
01069040600,82,47.6,13820,20020,Mixed (real + reclass)
01069040700,35.2,71.4,13820,20020,Mixed (real + reclass)
01069040801,100.6,140.1,13820,20020,Mixed (real + reclass)
01069040802,55.4,96.9,13820,20020,Mixed (real + reclass)
01069040900,57.9,122.1,13820,20020,Mixed (real + reclass)
01069041000,63.7,61.3,13820,20020,Stable Economy
01069041100,78.1,69,13820,20020,Mixed (real + reclass)
01069041200,55.6,34.2,13820,20020,Mixed (real + reclass)
01069041400,94.9,57.2,13820,20020,Mixed (real + reclass)
01069041500,68.8,68.6,13820,20020,Stable Economy
01069041600,84.4,97.3,13820,20020,Mixed (real + reclass)
01069041700,96.4,97.3,13820,20020,Stable Economy
01069041800,62.3,105.8,13820,20020,Mixed (real + reclass)
01069041901,70.2,91.9,13820,20020,Mixed (real + reclass)
01069041902,44.5,98.1,13820,20020,Mixed (real + reclass)
01069042000,60.1,84.3,13820,20020,Mixed (real + reclass)
01069042100,75.1,105.4,13820,20020,Mixed (real + reclass)
01071950101,34.3,108,13820,99999,Mixed (real + reclass)
01071950102,48.9,89.6,13820,99999,Mixed (real + reclass)
01071950200,97.5,94.4,13820,99999,Stable Economy
01071950301,38.7,88.1,13820,99999,Mixed (real + reclass)
01071950302,43.2,104.8,13820,99999,Mixed (real + reclass)
01071950400,81,116.9,13820,99999,Mixed (real + reclass)
01071950500,93,97.8,13820,99999,Stable Economy
01071950601,157,74.7,13820,99999,Mixed (real + reclass)
01071950602,189.2,103.8,13820,99999,Mixed (real + reclass)
01071950700,160.1,95.6,13820,99999,Mixed (real + reclass)
01071950800,161,83.1,13820,99999,Mixed (real + reclass)
01071950901,79.1,88.3,13820,99999,Mixed (real + reclass)
01071950902,220.8,180.5,13820,99999,Mixed (real + reclass)
01071951000,245.5,93.5,13820,99999,Mixed (real + reclass)
01071951101,118.9,92.1,13820,99999,Mixed (real + reclass)
01071951102,242.8,95.9,13820,99999,Mixed (real + reclass)
01073000100,191.9,48.8,13820,13820,Real Decline
01073000300,39.5,29.3,13820,13820,Real Decline
01073000400,113.1,53.3,13820,13820,Real Decline
01073000500,63.8,32.3,13820,13820,Real Decline
01073000700,99.8,29,13820,13820,Real Decline
01073000800,144,43.5,13820,13820,Real Decline
01073001100,117.9,67.3,13820,13820,Real Decline
01073001200,128.7,100.8,13820,13820,Real Decline
01073001400,125,80.6,13820,13820,Real Decline
01073001500,149.9,50.8,13820,13820,Real Decline
01073001600,103.4,60.5,13820,13820,Real Decline
01073001902,120.9,38.5,13820,13820,Real Decline
01073002000,73.8,39.6,13820,13820,Real Decline
01073002100,116.8,53.9,13820,13820,Real Decline
01073002200,50.6,43.5,13820,13820,Real Decline
01073002303,57.1,58.1,13820,13820,Stable Economy
01073002305,68,111.2,13820,13820,Real Growth
01073002306,128.7,129.7,13820,13820,Stable Economy
01073002401,81.8,47.1,13820,13820,Real Decline
01073002402,85,45.9,13820,13820,Real Decline
01073002701,97.4,196.8,13820,13820,Real Growth
01073002900,136.5,45.2,13820,13820,Real Decline
